date,category,product,variant,supplier,unit_price_rm,quantity_sold,total_sales_rm
1/1/2026,Dairy,Milk,Full Cream Milk,Fresh Farms Co.,6.5,16,104
1/1/2026,Dairy,Milk,Low Fat Milk,Farmhouse Dairy,6.8,2,13.6
1/1/2026,Dairy,Milk,Chocolate Milk,Farmhouse Dairy,7.5,5,37.5
1/1/2026,Dairy,Cheese,Cheddar Cheese,Fresh Farms Co.,9.9,3,29.7
1/1/2026,Dairy,Cheese,Mozzarella Cheese,Fresh Farms Co.,11.9,8,95.2
1/1/2026,Dairy,Cheese,Cheese Slices,Dairy Best,8.9,10,89
1/1/2026,Dairy,Yogurt,Plain Yogurt,Farmhouse Dairy,3.9,8,31.2
1/1/2026,Dairy,Yogurt,Strawberry Yogurt,Dairy Best,4.5,1,4.5
1/1/2026,Dairy,Yogurt,Greek Yogurt,Farmhouse Dairy,6.9,4,27.6
1/1/2026,Beverages,Coke,Coke 200ml,Coca-Cola,2,6,12
1/1/2026,Beverages,Coke,Coke 500ml,Coca-Cola,3.5,15,52.5
1/1/2026,Beverages,Coke,Coke 1.5L,Local Beverage Distributor,6.9,8,55.2
1/1/2026,Beverages,Coke,Diet Coke,Local Beverage Distributor,3.8,3,11.4
1/1/2026,Beverages,Coke,Coke Zero,Coca-Cola,3.8,14,53.2
1/1/2026,Beverages,Pepsi,Pepsi 200ml,Local Beverage Distributor,2,2,4
1/1/2026,Beverages,Pepsi,Pepsi 500ml,PepsiCo,3.4,7,23.8
1/1/2026,Beverages,Pepsi,Pepsi 1.5L,PepsiCo,6.8,5,34
1/1/2026,Beverages,Pepsi,Pepsi Max,Local Beverage Distributor,3.8,5,19
1/1/2026,Beverages,Sprite,Sprite 200ml,Coca-Cola,2,2,4
1/1/2026,Beverages,Sprite,Sprite 500ml,Local Beverage Distributor,3.4,7,23.8
1/1/2026,Beverages,Sprite,Sprite 1.5L,Local Beverage Distributor,6.8,3,20.4
1/1/2026,Bakery,Bread,White Bread,Sunshine Bakery,3.8,17,64.6
1/1/2026,Bakery,Bread,Wholemeal Bread,Sunshine Bakery,4.8,18,86.4
1/1/2026,Bakery,Bread,Multigrain Bread,Local Bakery,5.8,5,29
1/1/2026,Bakery,Bun,Plain Bun,Local Bakery,2,7,14
1/1/2026,Bakery,Bun,Cream Bun,Sunshine Bakery,2.8,8,22.4
1/1/2026,Bakery,Bun,Red Bean Bun,Local Bakery,2.8,1,2.8
1/1/2026,Bakery,Croissant,Butter Croissant,Local Bakery,4.5,5,22.5
1/1/2026,Bakery,Croissant,Chocolate Croissant,French Bakehouse,5.2,5,26
1/1/2026,Produce,Apple,Red Apple,Fresh Farms Co.,2.2,10,22
1/1/2026,Produce,Apple,Green Apple,Green Harvest,2.4,3,7.2
1/1/2026,Produce,Apple,Fuji Apple,Green Harvest,3.2,2,6.4
1/1/2026,Produce,Banana,Cavendish Banana,Green Harvest,1.8,17,30.6
1/1/2026,Produce,Banana,Mini Banana,Fresh Farms Co.,2.5,1,2.5
1/1/2026,Produce,Lettuce,Romaine Lettuce,Green Harvest,4.8,5,24
1/1/2026,Produce,Lettuce,Butterhead Lettuce,Local Farm,5.2,5,26
1/1/2026,Pantry,Rice,White Rice 5kg,Pantry Supply Co.,22.9,8,183.2
1/1/2026,Pantry,Rice,Brown Rice 5kg,Golden Grain,28.9,8,231.2
1/1/2026,Pantry,Rice,Basmati Rice 5kg,Golden Grain,34.9,3,104.7
1/1/2026,Pantry,Pasta,Spaghetti,Pantry Supply Co.,5.5,9,49.5
1/1/2026,Pantry,Pasta,Macaroni,Italian Foods,5.2,2,10.4
1/1/2026,Pantry,Pasta,Penne,Pantry Supply Co.,5.8,8,46.4
1/1/2026,Pantry,Cereal,Corn Flakes,Kellogg's,11.9,12,142.8
1/1/2026,Pantry,Cereal,Oat Cereal,Kellogg's,13.9,7,97.3
1/1/2026,Pantry,Cereal,Chocolate Cereal,Kellogg's,15.9,1,15.9
2/1/2026,Dairy,Milk,Full Cream Milk,Fresh Farms Co.,6.5,18,117
2/1/2026,Dairy,Milk,Low Fat Milk,Farmhouse Dairy,6.8,1,6.8
2/1/2026,Dairy,Milk,Chocolate Milk,Fresh Farms Co.,7.5,6,45
2/1/2026,Dairy,Cheese,Cheddar Cheese,Fresh Farms Co.,9.9,3,29.7
2/1/2026,Dairy,Cheese,Mozzarella Cheese,Fresh Farms Co.,11.9,7,83.3
2/1/2026,Dairy,Cheese,Cheese Slices,Dairy Best,8.9,11,97.9
2/1/2026,Dairy,Yogurt,Plain Yogurt,Farmhouse Dairy,3.9,2,7.8
2/1/2026,Dairy,Yogurt,Strawberry Yogurt,Farmhouse Dairy,4.5,4,18
2/1/2026,Dairy,Yogurt,Greek Yogurt,Dairy Best,6.9,1,6.9
2/1/2026,Beverages,Coke,Coke 200ml,Coca-Cola,2,5,10
2/1/2026,Beverages,Coke,Coke 500ml,Coca-Cola,3.5,12,42
2/1/2026,Beverages,Coke,Coke 1.5L,Coca-Cola,6.9,5,34.5
2/1/2026,Beverages,Coke,Diet Coke,Local Beverage Distributor,3.8,4,15.2
2/1/2026,Beverages,Coke,Coke Zero,Local Beverage Distributor,3.8,22,83.6
2/1/2026,Beverages,Pepsi,Pepsi 200ml,Local Beverage Distributor,2,8,16
2/1/2026,Beverages,Pepsi,Pepsi 500ml,Local Beverage Distributor,3.4,8,27.2
2/1/2026,Beverages,Pepsi,Pepsi 1.5L,PepsiCo,6.8,1,6.8
2/1/2026,Beverages,Pepsi,Pepsi Max,Local Beverage Distributor,3.8,4,15.2
2/1/2026,Beverages,Sprite,Sprite 200ml,Coca-Cola,2,4,8
2/1/2026,Beverages,Sprite,Sprite 500ml,Coca-Cola,3.4,6,20.4
2/1/2026,Beverages,Sprite,Sprite 1.5L,Local Beverage Distributor,6.8,1,6.8
2/1/2026,Bakery,Bread,White Bread,Gardenia,3.8,17,64.6
2/1/2026,Bakery,Bread,Wholemeal Bread,Sunshine Bakery,4.8,10,48
2/1/2026,Bakery,Bread,Multigrain Bread,Gardenia,5.8,4,23.2
2/1/2026,Bakery,Bun,Plain Bun,Local Bakery,2,4,8
2/1/2026,Bakery,Bun,Cream Bun,Sunshine Bakery,2.8,4,11.2
2/1/2026,Bakery,Bun,Red Bean Bun,Local Bakery,2.8,1,2.8
2/1/2026,Bakery,Croissant,Butter Croissant,Local Bakery,4.5,1,4.5
2/1/2026,Bakery,Croissant,Chocolate Croissant,French Bakehouse,5.2,1,5.2
2/1/2026,Produce,Apple,Red Apple,Fresh Farms Co.,2.2,11,24.2
2/1/2026,Produce,Apple,Green Apple,Fresh Farms Co.,2.4,7,16.8
2/1/2026,Produce,Apple,Fuji Apple,Green Harvest,3.2,3,9.6
2/1/2026,Produce,Banana,Cavendish Banana,Fresh Farms Co.,1.8,19,34.2
2/1/2026,Produce,Banana,Mini Banana,Fresh Farms Co.,2.5,5,12.5
2/1/2026,Produce,Lettuce,Romaine Lettuce,Green Harvest,4.8,5,24
2/1/2026,Produce,Lettuce,Butterhead Lettuce,Green Harvest,5.2,6,31.2
2/1/2026,Pantry,Rice,White Rice 5kg,Pantry Supply Co.,22.9,6,137.4
2/1/2026,Pantry,Rice,Brown Rice 5kg,Pantry Supply Co.,28.9,2,57.8
2/1/2026,Pantry,Rice,Basmati Rice 5kg,Golden Grain,34.9,7,244.3
2/1/2026,Pantry,Pasta,Spaghetti,Italian Foods,5.5,8,44
2/1/2026,Pantry,Pasta,Macaroni,Italian Foods,5.2,8,41.6
2/1/2026,Pantry,Pasta,Penne,Italian Foods,5.8,6,34.8
2/1/2026,Pantry,Cereal,Corn Flakes,Kellogg's,11.9,7,83.3
2/1/2026,Pantry,Cereal,Oat Cereal,Kellogg's,13.9,5,69.5
